iter	RMSE
0	0.6666452424
1	0.6597389564
2	0.6541838337
3	0.6495142476
4	0.645291587
5	0.6416571534
6	0.6386580487
7	0.6360827843
8	0.633871539
9	0.6320384641
10	0.6303546517
11	0.629011176
12	0.6277826759
13	0.6265954404
14	0.625589093
15	0.6247129295
16	0.6239451975
17	0.6233037054
18	0.6226367056
19	0.62203717
20	0.6214807148
21	0.6209957006
22	0.6205391194
23	0.620143081
24	0.6198283902
25	0.6195184903
26	0.6192327568
27	0.6190101214
28	0.6187606411
29	0.6185210989
30	0.6182864795
31	0.6180773755
32	0.6179219464
33	0.6177558335
34	0.617612982
35	0.6174475708
36	0.6172926096
37	0.6171552907
38	0.617021029
39	0.6169108518
40	0.6168119349
41	0.6167145309
42	0.616596048
43	0.6165018446
44	0.616421737
45	0.616335231
46	0.6162590873
47	0.6161678394
48	0.6160948307
49	0.6160474788
50	0.6159672147
51	0.6159082706
52	0.6158326599
53	0.6157668784
54	0.6157104216
55	0.6156353508
56	0.6155898385
57	0.6155377054
58	0.6154950183
59	0.6154275358
60	0.6153799619
61	0.615325617
62	0.6152479672
63	0.6151946582
64	0.6151484271
65	0.6150762819
66	0.6150128629
67	0.6149551944
68	0.6149015127
69	0.6148635203
70	0.6148193682
71	0.6147658476
72	0.6147282917
73	0.6146972584
74	0.614667098
75	0.6146290015
76	0.614565178
77	0.6145203918
78	0.614460852
79	0.6144169578
80	0.6143743112
81	0.6143431761
82	0.6143169819
83	0.6142617163
84	0.6142337102
85	0.61417593
86	0.6141370807
87	0.6141060662
88	0.6140546373
89	0.6140163485
90	0.6139798306
91	0.6139352491
92	0.6139012956
93	0.6138716386
94	0.6138356191
95	0.6137945871
96	0.6137492682
97	0.6137149713
98	0.6136783528
99	0.6136193786
100	0.6135916703
101	0.6135618631
102	0.6135261379
103	0.6134754282
104	0.613448196
105	0.6134197462
106	0.613379773
107	0.6133399852
108	0.6133082558
109	0.6132666611
110	0.6132247647
111	0.6131714815
112	0.6131387154
113	0.6131144292
114	0.6130889451
115	0.6130604344
116	0.6130079847
117	0.6129738341
118	0.6129307799
119	0.6128839854
