iter	Passed	Remaining
0	5	5663
1	11	5499
2	16	5360
3	21	5326
4	25	5159
5	30	4977
6	34	4870
7	38	4833
8	43	4816
9	48	4772
10	52	4708
11	56	4660
12	61	4633
13	65	4600
14	69	4580
15	74	4566
16	78	4544
17	83	4529
18	87	4504
19	91	4478
20	95	4465
21	100	4448
22	104	4428
23	109	4441
24	113	4430
25	117	4409
26	121	4390
27	125	4371
28	129	4350
29	134	4363
30	139	4352
31	143	4337
32	147	4316
33	151	4305
34	155	4289
35	159	4274
36	163	4262
37	168	4264
38	172	4252
39	176	4234
40	180	4228
41	184	4216
42	189	4210
43	193	4206
44	197	4194
45	202	4191
46	207	4203
47	211	4192
48	215	4182
49	219	4169
50	223	4162
51	227	4150
52	231	4142
53	236	4138
54	240	4126
55	244	4126
56	248	4118
57	253	4112
58	257	4102
59	261	4096
60	265	4085
61	269	4079
62	273	4072
63	277	4063
64	281	4055
65	286	4050
66	290	4041
67	294	4035
68	298	4030
69	302	4023
70	306	4014
71	310	4008
72	315	4000
73	319	3993
74	323	3985
75	327	3979
76	331	3976
77	335	3968
78	340	3964
79	344	3958
80	348	3959
81	353	3953
82	357	3948
83	361	3944
84	365	3939
85	369	3929
86	373	3922
87	378	3918
88	382	3911
89	386	3903
90	389	3895
91	394	3894
92	399	3892
93	403	3891
94	408	3893
95	412	3888
96	417	3885
97	421	3881
98	425	3874
99	430	3870
100	434	3867
101	438	3861
102	442	3857
103	447	3854
104	451	3851
105	456	3847
106	460	3840
107	464	3836
108	468	3831
109	473	3833
110	477	3828
111	482	3826
112	486	3819
113	490	3815
114	495	3812
115	500	3813
116	504	3807
117	508	3802
118	513	3803
119	517	3797
120	521	3791
121	526	3787
122	530	3782
123	535	3780
124	539	3775
125	543	3771
126	547	3766
127	552	3761
128	556	3758
129	560	3753
130	564	3747
131	569	3742
132	573	3738
133	577	3733
134	581	3728
135	586	3724
136	590	3718
137	594	3713
138	598	3708
139	603	3704
140	607	3702
141	613	3704
142	617	3698
143	621	3693
144	625	3688
145	629	3684
